County,State,Population,Valid_ballots,Voter_turnout,Vote,Vote_share
Hamilton County,Nebraska,9158,5004,54.64075126,878,17.54596323
Harlan County,Nebraska,3451,1832,53.08606201,254,13.86462882
Hayes County,Nebraska,891,514,57.68799102,30,5.836575875
Hitchcock County,Nebraska,2828,1468,51.90947666,161,10.96730245
Holt County,Nebraska,10223,5118,50.06358212,531,10.37514654
Hooker County,Nebraska,683,417,61.05417277,40,9.592326139
Howard County,Nebraska,6407,2994,46.73013891,544,18.16967268
Jefferson County,Nebraska,7181,3494,48.65617602,837,23.95535203
Johnson County,Nebraska,5213,2089,40.07289469,563,26.95069411
Kearney County,Nebraska,6561,3296,50.23624447,550,16.6868932
Keith County,Nebraska,8096,4034,49.8270751,571,14.15468518
Keya Paha County,Nebraska,792,479,60.47979798,40,8.350730689
Kimball County,Nebraska,3669,1677,45.70727719,230,13.7149672
Knox County,Nebraska,8484,4115,48.50306459,720,17.49696233
Lancaster County,Nebraska,310306,136223,43.8995701,61898,45.43872914
Lincoln County,Nebraska,35487,16131,45.45608251,2913,18.05839688
Logan County,Nebraska,792,453,57.1969697,32,7.06401766
Loup County,Nebraska,616,385,62.5,48,12.46753247
McPherson County,Nebraska,503,287,57.05765408,14,4.87804878
Madison County,Nebraska,34979,14343,41.00460276,2711,18.90120616
Merrick County,Nebraska,7838,3788,48.32865527,602,15.89229145
Morrill County,Nebraska,4867,2209,45.38730224,284,12.85649615
Nance County,Nebraska,3561,1621,45.52092109,281,17.33497841
Nemaha County,Nebraska,6973,3161,45.33199484,785,24.83391332
Nuckolls County,Nebraska,4274,2205,51.59101544,353,16.00907029
Otoe County,Nebraska,15950,7457,46.7523511,2025,27.15569264
Pawnee County,Nebraska,2699,1327,49.16635791,279,21.02486812
Perkins County,Nebraska,2892,1455,50.31120332,161,11.0652921
Phelps County,Nebraska,9193,4695,51.07146742,572,12.18317359
Pierce County,Nebraska,7144,3630,50.8118701,382,10.52341598
Platte County,Nebraska,33008,14433,43.72576345,2646,18.33298691
Polk County,Nebraska,5190,2582,49.7495183,413,15.99535244
Red Willow County,Nebraska,10767,5170,48.01708925,645,12.47582205
Richardson County,Nebraska,8004,3805,47.53873063,818,21.49802891
Rock County,Nebraska,1404,798,56.83760684,70,8.771929825
Saline County,Nebraska,14228,5136,36.09783525,1733,33.74221184
Sarpy County,Nebraska,178355,80580,45.17955762,28033,34.78902954
Saunders County,Nebraska,20992,10860,51.7339939,2523,23.2320442
Scotts Bluff County,Nebraska,36420,14317,39.31081823,3207,22.39994412
Seward County,Nebraska,17103,7922,46.31935918,1875,23.66826559
Sheridan County,Nebraska,5235,2608,49.81852913,287,11.00460123
Sherman County,Nebraska,3012,1573,52.22443559,340,21.61474889
Sioux County,Nebraska,1259,736,58.45909452,81,11.00543478
Stanton County,Nebraska,5975,2801,46.87866109,417,14.88754016
Thayer County,Nebraska,5080,2690,52.95275591,499,18.55018587
Thomas County,Nebraska,722,393,54.43213296,30,7.633587786
Thurston County,Nebraska,7139,2088,29.24779381,919,44.01340996
Valley County,Nebraska,4201,2205,52.48750298,339,15.37414966
Washington County,Nebraska,20213,10832,53.58927423,2623,24.21528804
Wayne County,Nebraska,9379,3776,40.26015567,835,22.11334746
Webster County,Nebraska,3566,1708,47.89680314,306,17.91569087
Wheeler County,Nebraska,804,465,57.8358209,62,13.33333333
York County,Nebraska,13740,6381,46.44104803,1186,18.58642846
Churchill County,Nevada,23904,10938,45.75803213,2210,20.20479064
Clark County,Nevada,2138836,767156,35.86792068,402227,52.4309267
Douglas County,Nevada,47834,27885,58.29535477,8454,30.31737493
Elko County,Nevada,52082,18559,35.63419224,3401,18.32534081
Esmeralda County,Nevada,826,423,51.21065375,65,15.36643026
Eureka County,Nevada,1936,854,44.11157025,74,8.665105386
Humboldt County,Nevada,16795,6433,38.30306639,1386,21.54515778
Lander County,Nevada,5684,2413,42.45249824,403,16.70120182
Lincoln County,Nevada,5154,2132,41.36592938,285,13.36772983
Lyon County,Nevada,52707,23762,45.08319578,6146,25.86482619
Mineral County,Nevada,4376,1997,45.63528336,637,31.89784677
Nye County,Nevada,43248,19595,45.30845357,5094,25.99642766
Pershing County,Nevada,6576,1982,30.13990268,430,21.69525732
Storey County,Nevada,3986,2558,64.17461114,752,29.39796716
Washoe County,Nevada,449723,209909,46.67517561,97379,46.39105517
White Pine County,Nevada,9749,3773,38.70140527,707,18.73840445
Carson City,Nevada,54147,25016,46.20015883,9610,38.41541413
Belknap County,New Hampshire,60747,35045,57.69009169,13517,38.57040947
Carroll County,New Hampshire,47497,29616,62.35341179,12987,43.8512966
Cheshire County,New Hampshire,75975,41895,55.14313919,22064,52.66499582
Coos County,New Hampshire,31916,15627,48.96290262,6563,41.99782428
Grafton County,New Hampshire,90004,51191,56.87636105,28510,55.6933836
Hillsborough County,New Hampshire,411333,214157,52.06414268,99589,46.50279935
Merrimack County,New Hampshire,149063,83648,56.11587047,40198,48.05614002
Rockingham County,New Hampshire,304377,181434,59.60831469,79994,44.08986188
Strafford County,New Hampshire,128311,69000,53.77559212,34894,50.57101449
Sullivan County,New Hampshire,43084,22683,52.64831492,10210,45.01168276
Atlantic County,New Jersey,267217,117291,43.89353971,60924,51.94260429
Bergen County,New Jersey,928120,419296,45.17691678,231211,55.14266771
Burlington County,New Jersey,445972,218943,49.09344084,121725,55.59666214
Camden County,New Jersey,507002,226592,44.69252587,146717,64.74941746
Cape May County,New Jersey,93655,48722,52.02284982,18750,38.48364189
Cumberland County,New Jersey,153233,54004,35.24306122,27771,51.42396859
Essex County,New Jersey,792689,310934,39.22521947,240837,77.45598744
Gloucester County,New Jersey,290761,139542,47.99199342,66870,47.92105603
Hudson County,New Jersey,668588,219375,32.81168672,163917,74.72
Hunterdon County,New Jersey,124775,70836,56.77098778,28898,40.79564063
Mercer County,New Jersey,367699,156529,42.56987373,104775,66.93647822
Middlesex County,New Jersey,825457,326102,39.50563143,193044,59.19742903
Monmouth County,New Jersey,622971,314377,50.46414681,137181,43.63582578
Morris County,New Jersey,493801,250416,50.71192646,115249,46.0230177
Ocean County,New Jersey,590897,274362,46.43144237,87150,31.76460297
Passaic County,New Jersey,504147,194802,38.6399205,116759,59.93726964
Salem County,New Jersey,63203,29494,46.66550638,11904,40.36075134
Somerset County,New Jersey,329875,157092,47.62167488,85689,54.54701703
Sussex County,New Jersey,141925,74126,52.22899419,24212,32.66330302
Union County,New Jersey,552781,221975,40.15604733,147414,66.41018133
Warren County,New Jersey,106059,49236,46.42321727,17281,35.09830206
Bernalillo County,New Mexico,677683,274662,40.52956913,143417,52.21581435
Catron County,New Mexico,3518,2049,58.24332007,427,20.83943387
Chaves County,New Mexico,65646,20271,30.87926149,5534,27.30008386
Cibola County,New Mexico,27049,8063,29.80886539,3741,46.39712266
Colfax County,New Mexico,12250,5332,43.52653061,2129,39.92873218
Curry County,New Mexico,50283,13370,26.58950341,3121,23.34330591
De Baca County,New Mexico,1835,910,49.59128065,193,21.20879121
Dona Ana County,New Mexico,214663,70648,32.91112115,37947,53.71277319
Eddy County,New Mexico,57650,19667,34.11448395,5033,25.59109168
Grant County,New Mexico,28040,12811,45.68830243,6276,48.98914995
Guadalupe County,New Mexico,4369,1827,41.81734951,970,53.09250137
Harding County,New Mexico,687,527,76.71033479,156,29.60151803
Hidalgo County,New Mexico,4324,1872,43.29324699,784,41.88034188
Lea County,New Mexico,70249,17712,25.21317029,3930,22.18834688
Lincoln County,New Mexico,19397,8902,45.8936949,2331,26.18512694
Los Alamos County,New Mexico,18209,10885,59.77813169,5562,51.09784107
Luna County,New Mexico,24362,7295,29.94417536,3195,43.79712132
McKinley County,New Mexico,73028,21703,29.71873802,13576,62.55356402
Mora County,New Mexico,4533,2441,53.84954776,1536,62.92503073
Otero County,New Mexico,65647,20060,30.55737505,6124,30.52841476
Quay County,New Mexico,8390,3572,42.57449344,1017,28.47144457
Rio Arriba County,New Mexico,39245,14878,37.91056186,9592,64.47103105
Roosevelt County,New Mexico,19145,5950,31.0786106,1454,24.43697479
Sandoval County,New Mexico,140464,61690,43.91872651,27707,44.91327606
San Juan County,New Mexico,127954,46110,36.03638808,12865,27.90067231
San Miguel County,New Mexico,28005,10751,38.38957329,7285,67.7611385
Santa Fe County,New Mexico,148758,71434,48.02027454,50793,71.10479604
Sierra County,New Mexico,11117,5181,46.60429972,1612,31.11368462
Socorro County,New Mexico,16964,6868,40.4857345,3313,48.23820617
Taos County,New Mexico,32922,15260,46.35198348,10668,69.90825688
Torrance County,New Mexico,15491,6324,40.82370409,1785,28.22580645
Union County,New Mexico,4154,1702,40.97255657,320,18.80141011
Valencia County,New Mexico,75599,27592,36.49783727,10841,39.29037402
Albany County,New York,307597,139830,45.45883087,83077,59.41285847
Allegany County,New York,47044,18692,39.7330159,4882,26.1181254
Bronx County,New York,1444417,399522,27.65974092,353646,88.51727815
Broome County,New York,194498,86072,44.25341135,39212,45.55720792
Cattaraugus County,New York,77658,31161,40.1259368,9497,30.47719906
Cayuga County,New York,77674,33172,42.70669722,13522,40.76329434
Chautauqua County,New York,129206,54234,41.97483089,19091,35.20116532
Chemung County,New York,85644,36119,42.17341553,13757,38.08798693
Chenango County,New York,48315,20160,41.726172,6775,33.60615079
Clinton County,New York,80500,32105,39.88198758,15059,46.90546644
Columbia County,New York,60835,30902,50.79641654,15284,49.4595819
Cortland County,New York,47915,20244,42.24981738,8771,43.3264177
Delaware County,New York,45393,19792,43.60143634,6627,33.48322555
Dutchess County,New York,293029,130934,44.68294947,62261,47.55143813
Erie County,New York,918678,423625,46.11245725,215456,50.86007672
Essex County,New York,37671,17218,45.70624618,7762,45.08072947
Franklin County,New York,51081,16952,33.1865077,7297,43.04506843
Fulton County,New York,53610,21214,39.57097556,6496,30.62128783
Genesee County,New York,58013,26432,45.56220158,7650,28.94219128
Greene County,New York,47494,22050,46.42691708,7405,33.58276644
Hamilton County,New York,4556,3225,70.785777,949,29.42635659
Herkimer County,New York,62436,26255,42.05106029,8083,30.78651685
Jefferson County,New York,112980,38236,33.84315808,13809,36.11517941
Kings County,New York,2608423,805605,30.88475297,640553,79.51204374
Lewis County,New York,26647,11325,42.50009382,3146,27.77924945
Livingston County,New York,64000,30031,46.9234375,10697,35.61985948
Madison County,New York,71387,30064,42.11411041,11667,38.80721128
Monroe County,New York,743770,347790,46.76042325,188592,54.22582593
Montgomery County,New York,49169,19054,38.75205922,6595,34.61215493
Nassau County,New York,1355952,636967,46.97563041,326088,51.19386091
New York County,New York,1635443,668939,40.90261782,579013,86.55692074
Niagara County,New York,211554,92402,43.67773713,35559,38.48293327
Oneida County,New York,230375,91009,39.50472056,33743,37.07655287
Onondaga County,New York,464109,208440,44.91186338,112337,53.89416619
Ontario County,New York,109229,52258,47.8426059,22233,42.54468215
Orange County,New York,377799,152021,40.23859248,68278,44.91353168
Orleans County,New York,41247,16380,39.71197905,4470,27.28937729
Oswego County,New York,118895,48180,40.52315068,17095,35.4815276
Otsego County,New York,60132,25668,42.6860906,10451,40.7160667
Putnam County,New York,98761,48563,49.1722441,19366,39.87809649
Queens County,New York,2306830,686393,29.75481505,517220,75.35333257
Rensselaer County,New York,159294,71562,44.92447926,32717,45.71839803
Richmond County,New York,474040,180960,38.17399376,74143,40.97203802
Rockland County,New York,323258,135087,41.78922099,69342,51.33136423
St. Lawrence County,New York,109449,39158,35.77739404,16488,42.10633842
Saratoga County,New York,227122,114094,50.23467564,50913,44.62373131
Schenectady County,New York,154475,67280,43.55397313,33747,50.15903686
Schoharie County,New York,31304,14050,44.88244314,4240,30.17793594
Schuyler County,New York,17967,8772,48.82284188,3091,35.2371181
Seneca County,New York,34710,13980,40.27657736,5697,40.75107296
Steuben County,New York,96958,42002,43.31978795,12526,29.82238941
Suffolk County,New York,1486406,681254,45.83229616,303951,44.61639858
Sullivan County,New York,74922,29955,39.98158084,12568,41.95626773
Tioga County,New York,48824,22299,45.67221039,7526,33.75039239
Tompkins County,New York,102942,42678,41.45829691,28890,67.69295656
Ulster County,New York,179042,81355,45.43905899,42101,51.7497388
Warren County,New York,64438,31408,48.74142587,13091,41.68046358
Washington County,New York,61795,24528,39.69253176,9098,37.09230267
Wayne County,New York,90758,39687,43.72837656,13473,33.94814423
Westchester County,New York,970267,420655,43.35456117,272926,64.88119718
Wyoming County,New York,40432,17298,42.7829442,3904,22.56908313
Yates County,New York,25059,10066,40.16920069,3659,36.35008941
Alamance County,North Carolina,160283,71157,44.39460205,29833,41.92560114
Alexander County,North Carolina,37133,18271,49.20421189,3767,20.61737179
Alleghany County,North Carolina,10919,5315,48.67661874,1306,24.57196613
Anson County,North Carolina,25165,10545,41.90343731,5859,55.56187767
Ashe County,North Carolina,26600,13424,50.46616541,3500,26.0727056
Avery County,North Carolina,17442,8249,47.29388832,1689,20.47520912
Beaufort County,North Carolina,47369,23938,50.53516013,8764,36.61124572
Bertie County,North Carolina,19423,9347,48.1233589,5778,61.81662566
Bladen County,North Carolina,33638,15897,47.25905226,7058,44.39831415
Brunswick County,North Carolina,126304,68351,54.11625918,23282,34.06241313
Buncombe County,North Carolina,254955,138947,54.49863701,75452,54.30271974
Burke County,North Carolina,89451,38920,43.50985456,11251,28.90801644
Cabarrus County,North Carolina,201639,93289,46.26535541,35521,38.07630053
Caldwell County,North Carolina,81766,36320,44.41944084,8425,23.1965859
Camden County,North Carolina,10397,5006,48.14850438,1274,25.44946065
Carteret County,North Carolina,68808,37781,54.90785955,9939,26.30687383
Caswell County,North Carolina,22755,11070,48.64864865,4792,43.28816621
Catawba County,North Carolina,156448,72351,46.24603702,21216,29.32371356
Chatham County,North Carolina,69642,39849,57.21978117,21065,52.86205425
Cherokee County,North Carolina,27809,14181,50.99428243,2860,20.1678302
Chowan County,North Carolina,14201,7228,50.8978241,2992,41.39457665
Clay County,North Carolina,10749,6010,55.91217788,1367,22.74542429
Cleveland County,North Carolina,96960,44673,46.07363861,14964,33.496743
Columbus County,North Carolina,56292,23732,42.15874369,9063,38.1889432
Craven County,North Carolina,102632,47001,45.79565827,17630,37.50984022
Cumberland County,North Carolina,333167,127506,38.27089718,71605,56.15814158
Currituck County,North Carolina,25640,12669,49.41107644,2913,22.99313284
Dare County,North Carolina,35829,19609,54.72940914,7222,36.83002703
Davidson County,North Carolina,164270,74856,45.5688805,18109,24.19178155
Davie County,North Carolina,41921,21756,51.89761695,5270,24.22320279
Duplin County,North Carolina,59275,20856,35.18515394,8283,39.71518987
Durham County,North Carolina,307826,156134,50.7215115,121250,77.65765304
Edgecombe County,North Carolina,53283,24886,46.70532815,16224,65.19328136
Forsyth County,North Carolina,371260,178312,48.02887464,94464,52.9768047
Franklin County,North Carolina,64676,30368,46.95404787,12874,42.39330875
Gaston County,North Carolina,216622,96431,44.51579249,31177,32.33088944
Gates County,North Carolina,11569,5392,46.60731265,2385,44.23219585
Graham County,North Carolina,8531,4168,48.85710937,768,18.42610365
Granville County,North Carolina,58684,27353,46.61066049,12909,47.19409206
Greene County,North Carolina,21078,8095,38.40497201,3605,44.53366275
Guilford County,North Carolina,524265,257405,49.09826138,149248,57.98177969
Halifax County,North Carolina,51815,25167,48.57087716,15748,62.57400564
Harnett County,North Carolina,130674,46065,35.25184811,16737,36.33344188
Haywood County,North Carolina,60405,30727,50.8683056,10473,34.08403033
Henderson County,North Carolina,113583,58176,51.21893241,19827,34.08106436
Hertford County,North Carolina,24209,10186,42.07526127,6910,67.83820931
Hoke County,North Carolina,52981,18230,34.40856156,9726,53.35161821
Hyde County,North Carolina,5434,2304,42.39970556,965,41.88368056
Iredell County,North Carolina,172466,82567,47.87436364,24734,29.95627793
Jackson County,North Carolina,42622,18713,43.90455633,7713,41.21733554
Johnston County,North Carolina,190843,85909,45.01553633,28362,33.01400319
Jones County,North Carolina,9588,5135,53.55652899,2065,40.21421616
Lee County,North Carolina,59646,25084,42.05478993,10469,41.73576782
Lenoir County,North Carolina,57240,26807,46.83263452,12634,47.12948111
Lincoln County,North Carolina,81229,40023,49.27181179,9897,24.72828124
McDowell County,North Carolina,44866,19875,44.29857799,4667,23.48176101
Macon County,North Carolina,34262,17734,51.75996731,4876,27.49520695
Madison County,North Carolina,21367,11269,52.74020686,3926,34.83893868
Martin County,North Carolina,23122,11964,51.74292881,5846,48.86325644
Mecklenburg County,North Carolina,1056901,472857,44.73995199,294562,62.29409737
Mitchell County,North Carolina,14996,8096,53.98773006,1596,19.71343874
Montgomery County,North Carolina,27301,11540,42.26951394,4150,35.96187175
Moore County,North Carolina,95405,48692,51.03715738,16329,33.535283
Nash County,North Carolina,93953,47665,50.73281322,23235,48.74645967
New Hanover County,North Carolina,224809,111905,49.77781139,50979,45.5556052
Northampton County,North Carolina,20127,9848,48.92929895,6144,62.38830219
Onslow County,North Carolina,192314,57135,29.70922554,17514,30.65371489
Orange County,North Carolina,142800,82340,57.66106443,59923,72.77507894
Pamlico County,North Carolina,12765,6870,53.81903643,2448,35.63318777
Pasquotank County,North Carolina,39392,17391,44.14855808,8615,49.5371169
Pender County,North Carolina,58771,27885,47.44687005,9354,33.54491662
Perquimans County,North Carolina,13402,6708,50.05223101,2319,34.5706619
Person County,North Carolina,39270,19615,49.94907054,7833,39.93372419
Pitt County,North Carolina,177171,80527,45.45156939,41824,51.93785935
Polk County,North Carolina,20414,10934,53.56128147,3735,34.15950247
Randolph County,North Carolina,143062,64575,45.13777243,13194,20.43205575
Richmond County,North Carolina,45012,19328,42.93966053,8501,43.98282285
Robeson County,North Carolina,133383,40858,30.63208955,19016,46.54168094
Rockingham County,North Carolina,91308,42278,46.30262409,14228,33.65343678
Rowan County,North Carolina,139410,64369,46.172441,19400,30.13873138
Rutherford County,North Carolina,66286,30307,45.72157017,7512,24.78635299
Sampson County,North Carolina,63225,25928,41.0090945,10547,40.67803147
Scotland County,North Carolina,35309,13928,39.44603359,7319,52.54882252
Stanly County,North Carolina,60826,29917,49.18455923,7094,23.71227062
Stokes County,North Carolina,45920,22550,49.10714286,4665,20.68736142
Surry County,North Carolina,72008,32196,44.7116987,7488,23.25754752
Swain County,North Carolina,14190,6124,43.15715292,2196,35.85891574
Transylvania County,North Carolina,33393,17869,53.51121493,6558,36.70043091
Tyrrell County,North Carolina,4024,1739,43.21570577,720,41.40310523
Union County,North Carolina,226279,105710,46.71666394,34337,32.48226279
Vance County,North Carolina,44485,19977,44.90727211,12229,61.21539771
Wake County,North Carolina,1048335,527624,50.32971331,302736,57.37722317
Warren County,North Carolina,19884,9842,49.49708308,6413,65.15952042
Washington County,North Carolina,12070,6165,51.07705054,3510,56.93430657
Watauga County,North Carolina,54140,29985,55.38418914,14138,47.15024179
Wayne County,North Carolina,124269,50689,40.78973839,21770,42.94817416
Wilkes County,North Carolina,68581,31296,45.63363031,6638,21.21037832
Wilson County,North Carolina,81307,38135,46.90248072,19663,51.56155762
Yadkin County,North Carolina,37653,17624,46.80636337,3160,17.93009532
Yancey County,North Carolina,17610,9960,56.55877342,3196,32.08835341
Adams County,North Dakota,2344,1218,51.96245734,216,17.73399015
Barnes County,North Dakota,10899,5344,49.03202129,1597,29.88398204
Benson County,North Dakota,6840,2011,29.4005848,842,41.86971656
Billings County,North Dakota,948,605,63.8185654,59,9.752066116
Bottineau County,North Dakota,6573,3494,53.1568538,736,21.06468231
Bowman County,North Dakota,3222,1787,55.46244569,227,12.70285395
Burke County,North Dakota,2227,1052,47.23843736,119,11.31178707
Burleigh County,North Dakota,94606,47979,50.71454242,10881,22.67867192
Cass County,North Dakota,174189,80821,46.39845226,31361,38.80303386
Cavalier County,North Dakota,3824,2006,52.458159,476,23.72881356
Dickey County,North Dakota,4987,2407,48.26549027,554,23.01620274
Divide County,North Dakota,2391,1219,50.98285236,245,20.09844135
Dunn County,North Dakota,4372,2243,51.30375114,358,15.96076683
Eddy County,North Dakota,2288,1231,53.80244755,355,28.83834281
Emmons County,North Dakota,3338,1981,59.34691432,215,10.85310449
Foster County,North Dakota,3309,1719,51.94922937,347,20.18615474
Golden Valley County,North Dakota,1857,957,51.53473344,99,10.34482759
Grand Forks County,North Dakota,70473,30365,43.08742355,10851,35.73522147
Grant County,North Dakota,2379,1381,58.04960067,185,13.39608979
Griggs County,North Dakota,2258,1265,56.02302923,298,23.55731225
Hettinger County,North Dakota,2597,1296,49.90373508,168,12.96296296
Kidder County,North Dakota,2475,1376,55.5959596,179,13.00872093
LaMoure County,North Dakota,4113,2151,52.297593,502,23.33798233
Logan County,North Dakota,1930,1067,55.28497409,114,10.6841612
McHenry County,North Dakota,5970,2820,47.2361809,490,17.37588652
McIntosh County,North Dakota,2599,1446,55.63678338,235,16.25172891
McKenzie County,North Dakota,12572,4672,37.16194718,698,14.94006849
McLean County,North Dakota,9643,5315,55.11770196,1081,20.33866416
Mercer County,North Dakota,8616,4682,54.34076137,621,13.26356258
Morton County,North Dakota,30732,15832,51.51633477,3080,19.45426983
Mountrail County,North Dakota,10234,4106,40.12116474,1220,29.71261568
Nelson County,North Dakota,2889,1717,59.43232953,536,31.21723937
Oliver County,North Dakota,1895,1017,53.66754617,119,11.70108161
Pembina County,North Dakota,7046,3153,44.74879364,681,21.59847764
Pierce County,North Dakota,4216,2071,49.12239089,431,20.81120232
Ramsey County,North Dakota,11557,5305,45.90291598,1505,28.36946277
Ransom County,North Dakota,5375,2359,43.88837209,838,35.52352692
Renville County,North Dakota,2517,1293,51.37067938,201,15.54524362
Richland County,North Dakota,16289,7592,46.60814046,2064,27.18651212
Rolette County,North Dakota,14716,3755,25.51644469,2099,55.8988016
Sargent County,North Dakota,3883,1997,51.42930724,694,34.75212819
Sheridan County,North Dakota,1342,787,58.6438152,95,12.07115629
Sioux County,North Dakota,4457,1232,27.6419116,758,61.52597403
Slope County,North Dakota,781,430,55.05761844,43,10
Stark County,North Dakota,30869,12322,39.9170689,1753,14.22658659
Steele County,North Dakota,1912,999,52.24895397,361,36.13613614
Stutsman County,North Dakota,21068,10155,48.20106322,2498,24.59871984
Towner County,North Dakota,2249,1157,51.44508671,305,26.36127917
Traill County,North Dakota,8001,3933,49.15635546,1241,31.55352148
Walsh County,North Dakota,10816,4636,42.86242604,1167,25.17256255
Ward County,North Dakota,69489,27412,39.44797018,5806,21.18050489
Wells County,North Dakota,4049,2383,58.85403803,419,17.58287872
Williams County,North Dakota,34213,12807,37.43313945,1735,13.54727883
Adams County,Ohio,27807,11359,40.8494264,2326,20.47715468
Allen County,Ohio,103613,45894,44.29366971,13294,28.96674947
Ashland County,Ohio,53520,24590,45.94544096,5740,23.34282229
Ashtabula County,Ohio,98171,40867,41.62838313,15577,38.11632858
Athens County,Ohio,66352,29443,44.37394502,16370,55.59895391
Auglaize County,Ohio,45766,23627,51.62566097,3980,16.8451348
Belmont County,Ohio,68606,31122,45.3633793,8785,28.22762033
Brown County,Ohio,43638,19607,44.93102342,4353,22.20125465
Butler County,Ohio,378354,173839,45.94612453,58642,33.73351204
Carroll County,Ohio,27621,13074,47.33355056,3154,24.124216
Champaign County,Ohio,38741,18104,46.73085362,4594,25.3756076
Clark County,Ohio,134723,61429,45.59652027,23328,37.97554901
Clermont County,Ohio,203165,99121,48.7884232,26715,26.95190726
Clinton County,Ohio,41887,18675,44.58423855,4066,21.77242303
Columbiana County,Ohio,103817,46201,44.50234547,12432,26.90850847
Coshocton County,Ohio,36617,15552,42.47207581,4013,25.80375514
Crawford County,Ohio,42095,19237,45.69901413,4625,24.04221032
Cuyahoga County,Ohio,1254144,603822,48.1461459,398271,65.95834534
Darke County,Ohio,51624,25484,49.3646366,4470,17.54041752
Defiance County,Ohio,38140,18192,47.6979549,5368,29.50747581
Delaware County,Ohio,197144,103860,52.68230329,40872,39.35297516
Erie County,Ohio,74999,37578,50.10466806,16057,42.72978871
Fairfield County,Ohio,152789,72913,47.72136738,24881,34.12423025
Fayette County,Ohio,28670,11162,38.93268225,2739,24.53861315
Franklin County,Ohio,1274450,581140,45.59927812,351198,60.432598
Fulton County,Ohio,42306,21225,50.17018863,6069,28.59363958
Gallia County,Ohio,30186,12931,42.83773935,2628,20.3232542
Geauga County,Ohio,93845,49941,53.21647397,17569,35.17951182
Greene County,Ohio,165290,81858,49.52386714,28943,35.35757043
Guernsey County,Ohio,39211,16557,42.22539593,4359,26.32723319
Hamilton County,Ohio,811332,409109,50.42436389,215719,52.72897932
Hancock County,Ohio,75831,36023,47.50431881,9609,26.67462455
Hardin County,Ohio,31398,12294,39.15536021,2920,23.75142346
Harrison County,Ohio,15252,7079,46.4135851,1688,23.84517587
Henry County,Ohio,27282,13932,51.06663734,3756,26.95951766
Highland County,Ohio,43006,18501,43.01957866,3773,20.39349224
Hocking County,Ohio,28393,12838,45.21536999,3775,29.40489173
Holmes County,Ohio,43847,11054,25.21039068,1788,16.17514022
Huron County,Ohio,58367,24834,42.54801515,7192,28.96029637
Jackson County,Ohio,32528,13693,42.09604033,3226,23.55948295
Jefferson County,Ohio,66944,32201,48.10139818,9675,30.04565076
Knox County,Ohio,60909,28687,47.09813,8171,28.48328511
Lake County,Ohio,229525,116246,50.64633482,46397,39.91277119
Lawrence County,Ohio,60691,26607,43.84010809,6974,26.21114744
Licking County,Ohio,171993,82761,48.11881879,27376,33.07838233
Logan County,Ohio,45128,21571,47.79959227,4647,21.54281211
Lorain County,Ohio,306607,140562,45.8443545,66949,47.6295158
Lucas County,Ohio,432879,197556,45.63769552,110833,56.10206726
Madison County,Ohio,43377,17290,39.85983355,4779,27.64025448
Mahoning County,Ohio,230269,115072,49.97285783,57381,49.86530172
Marion County,Ohio,65467,26322,40.20651626,7928,30.11929185
Medina County,Ohio,176876,91373,51.65935458,32182,35.22046994
Meigs County,Ohio,23166,9985,43.10195977,2260,22.63395093
Mercer County,Ohio,40715,21726,53.3611691,3384,15.57580779
Miami County,Ohio,104553,52734,50.43757711,13120,24.87958433
Monroe County,Ohio,14083,6795,48.24966271,1662,24.45916115
Montgomery County,Ohio,531818,258301,48.56943541,122016,47.23791236
Morgan County,Ohio,14733,6443,43.73175864,1736,26.9439702
Morrow County,Ohio,34922,16548,47.3856022,3761,22.72782209
Muskingum County,Ohio,85993,36991,43.01629202,11123,30.06947636
Noble County,Ohio,14441,6013,41.63839069,1221,20.30600366
Ottawa County,Ohio,40488,22218,54.87551867,8285,37.28958502
Paulding County,Ohio,18839,9047,48.02271883,2093,23.1347408
Perry County,Ohio,35998,14995,41.65509195,4138,27.59586529
Pickaway County,Ohio,57545,24745,43.00112955,6529,26.38512831
Pike County,Ohio,28093,11879,42.28455487,3539,29.79207004
Portage County,Ohio,162521,76139,46.84871494,32397,42.54981022
Preble County,Ohio,41157,20565,49.96719878,4325,21.0308777
Putnam County,Ohio,34007,18767,55.18569706,2922,15.56988331
Richland County,Ohio,121242,55214,45.54032431,16085,29.13210418
Ross County,Ohio,76848,30380,39.5325838,10356,34.08821593
Sandusky County,Ohio,59317,28044,47.27818332,9929,35.40507773
Scioto County,Ohio,76436,30784,40.27421634,9132,29.66476091
Seneca County,Ohio,55467,23987,43.24553338,7404,30.86671947
Shelby County,Ohio,48765,23740,48.68245668,4243,17.87278854
Stark County,Ohio,373447,175239,46.92473095,68146,38.88746227
Summit County,Ohio,541003,257979,47.68531783,134256,52.04144523
Trumbull County,Ohio,201715,96029,47.60627618,43014,44.79271887
Tuscarawas County,Ohio,92560,41289,44.60782195,12188,29.51875802
Union County,Ohio,55581,27429,49.34959788,7718,28.13810201
Van Wert County,Ohio,28177,13770,48.86964546,2697,19.58605664
Vinton County,Ohio,13022,5502,42.25157426,1351,24.55470738
Warren County,Ohio,226539,117267,51.76459682,33730,28.76342023
Washington County,Ohio,60598,29840,49.24254926,8026,26.89678284
Wayne County,Ohio,116613,49853,42.75080823,15031,30.15064289
Williams County,Ohio,36937,17308,46.8581639,4358,25.17910793
